# The FFI bench gate record: one line per check, the target it runs on, the
# .tono it compiles, and the outcome scripts/check-ffi-bench.sh must observe.
# A check that ends elsewhere than recorded fails the gate, in both
# directions: a regression on a green row, and a red row that starts passing
# (update this record and README.md together, that is the progress report).
#
# outcome: pass | frontend-red | check-red | gen-red | build-red | test-red | run-red | refused
# id	target	source	expected
bench	go	service.tono	gen-red
bench	typescript	service.tono	pass
bench	rust	service.tono	pass
01-go-interface-handle	go	probes/01-go-interface-handle.tono	pass
# 02: the handle is held as the concrete type the Rust block spells, and the
# trait method is reached through its own path, which is what brings the
# trait into scope.
02-rust-foreign-name	rust	probes/02-rust-foreign-name.tono	pass
03-rust-concrete-types	rust	probes/03-rust-concrete-types.tono	pass
04-go-variadic-options	go	probes/04-go-variadic-options.tono	pass
05-rust-handle-collection	rust	probes/05-rust-handle-collection.tono	pass
06-nested-call	go	probes/06-nested-call.tono	pass
# 07: the options form's Rust block names the library's own type and spells
# the field as Option<u8>, so the literal wraps the value in Some(..).
07-rust-struct-literal	rust	probes/07-rust-struct-literal.tono	pass
08-ts-new-construction	typescript	probes/08-ts-new-construction.tono	pass
09-ts-sync-method	typescript	probes/09-ts-sync-method.tono	pass
10-ownership-refused	go	probes/10-ownership-refused.tono	refused
# 11: the callee is the foreign type itself (FormulaCalculator.parse); Go has
# no static method and nothing to refuse: its block writes the package
# function the library exposes there.
11-ts-static-method	typescript	probes/11-ts-static-method.tono	pass
11-rust-static-method	rust	probes/11-rust-static-method.tono	pass
11-go-package-function	go	probes/11-go-package-function.tono	pass
# 12: the call passes a declared handle's class itself (instantiate(AnswerCalculator));
# Rust and Go have no type as a value, so their rows pass by being refused.
12-ts-class-reference	typescript	probes/12-ts-class-reference.tono	pass
12-rust-class-reference-refused	rust	probes/12-rust-class-reference-refused.tono	refused
12-go-class-reference-refused	go	probes/12-go-class-reference-refused.tono	refused
# 13: the library's Client shares its name with the generated entry's; the
# spelling is the library's and keeps the package selector either way.
13-go-name-collision	go	probes/13-go-name-collision.tono	pass
13-rust-name-collision	rust	probes/13-rust-name-collision.tono	pass
13-ts-name-collision	typescript	probes/13-ts-name-collision.tono	pass
# 14: a generated type inside a spelling is referenced by its own name
# (`Memo[.reading]`), never found by matching a word against the module.
14-go-generated-type-reference	go	probes/14-go-generated-type-reference.tono	pass
14-rust-generated-type-reference	rust	probes/14-rust-generated-type-reference.tono	pass
14-ts-generated-type-reference	typescript	probes/14-ts-generated-type-reference.tono	pass
# 15: an argument that must convert at the boundary (an i64 into a narrower
# numeric parameter): TypeScript converts across the bigint divide
# (Number(..)), Go writes its builtin conversion (int(..)), and Rust has no
# implicit numeric narrowing, so its generation refuses the binding naming
# both types (refused, as intended).
15-ts-argument-coercion	typescript	probes/15-ts-argument-coercion.tono	pass
15-go-argument-coercion	go	probes/15-go-argument-coercion.tono	pass
15-rust-numeric-refused	rust	probes/15-rust-numeric-refused.tono	refused
# 16: the constructor takes a pointer to its options struct. The argument
# spells the crossing (`options { .. }: #(&Options)`) and the form's block
# keeps the plain type, so the form's own probe and the call site compile
# together (a `&` on the block satisfied the call and broke the probe).
16-go-pointer-argument	go	probes/16-go-pointer-argument.tono	pass
